"uid","namedLocation","domainID","siteID","plotID","plotType","pointID","startDate","boutNumber","eventID","pointCountMinute","targetTaxaPresent","taxonID","scientificName","taxonRank","vernacularName","family","nativeStatusCode","observerDistance","detectionMethod","visualConfirmation","sexOrAge","clusterSize","clusterCode","identifiedBy","identificationHistoryID"
"d85d6fe4-5011-4761-a4bb-aa3b406ae09d","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",1,"2015-06-16T09:58Z",1,"BRD.BART.2015.1",3,"Y","BLBW","Setophaga fusca","species","Blackburnian Warbler","Parulidae","N",22,"singing","No","Male",1,"","JRUEB",NA
"998af808-d66d-4e85-b34a-4dc3f923e23a","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",1,"2015-06-16T09:58Z",1,"BRD.BART.2015.1",1,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler","Parulidae","N",47,"singing","No","Male",1,"","JRUEB",NA
"021fa5df-42f5-4d14-b316-322c83702bec","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",1,"2015-06-16T09:58Z",1,"BRD.BART.2015.1",4,"Y","BCCH","Poecile atricapillus","species","Black-capped Chickadee","Paridae","N",25,"calling","No","Unknown",1,"","JRUEB",NA
"16810a34-c31e-4f2c-9419-d29db2db9a33","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",2,"2015-06-16T10:10Z",1,"BRD.BART.2015.1",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo","Vireonidae","N",37,"singing","No","Male",1,"","JRUEB",NA
"db6e4154-5fdf-49d9-9708-6a31a9cde78b","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",2,"2015-06-16T10:10Z",1,"BRD.BART.2015.1",4,"Y","DOWO","Picoides pubescens","species","Downy Woodpecker","Picidae","N",NA,"drumming","No","Unknown",1,"","JRUEB",NA
"1d7515dc-78fd-4005-a0e0-ce7eb0947177","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",2,"2015-06-16T10:10Z",1,"BRD.BART.2015.1",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird","Parulidae","N",16,"singing","No","Male",1,"","JRUEB",NA
"3d4e2784-e6db-457b-8a59-029224838ced","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",2,"2015-06-16T10:10Z",1,"BRD.BART.2015.1",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo","Vireonidae","N",44,"singing","No","Male",1,"","JRUEB",NA
"31d0015a-74de-4b08-8e01-eef2b7916438","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",3,"2015-06-16T10:22Z",1,"BRD.BART.2015.1",1,"Y","CSWA","Setophaga pensylvanica","species","Chestnut-sided Warbler","Parulidae","N",42,"singing","No","Male",1,"","JRUEB",NA
"46a60a9c-5466-4386-8ac3-c5720bca6707","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",3,"2015-06-16T10:22Z",1,"BRD.BART.2015.1",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird","Parulidae","N",19,"singing","No","Male",1,"","JRUEB",NA
"3e89bc87-3656-4061-998b-ec7156e685b9","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",3,"2015-06-16T10:22Z",1,"BRD.BART.2015.1",3,"Y","CAWA","Cardellina canadensis","species","Canada Warbler","Parulidae","N",36,"singing","No","Male",1,"","JRUEB",NA
"d4fd0dc7-9870-42f8-be54-04612b36a52d","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",3,"2015-06-16T10:22Z",1,"BRD.BART.2015.1",1,"Y","REVI","Vireo olivaceus","species","Red-eyed Vireo","Vireonidae","N",32,"singing","No","Male",1,"","JRUEB",NA
"c9895f87-c189-4286-8ad1-f9d6b3484924","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",6,"2015-06-16T10:34Z",1,"BRD.BART.2015.1",1,"Y","OVEN","Seiurus aurocapilla","species","Ovenbird","Parulidae","N",62,"singing","No","Male",1,"","JRUEB",NA
"0ebe8289-7de5-4e39-8b8d-2482052dfb28","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",6,"2015-06-16T10:34Z",1,"BRD.BART.2015.1",1,"Y","BTNW","Setophaga virens","species","Black-throated Green Warbler","Parulidae","N",41,"singing","No","Male",1,"","JRUEB",NA
"5022dd54-a794-4208-a219-60e572f7d4d6","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",6,"2015-06-16T10:34Z",1,"BRD.BART.2015.1",6,"Y","BLBW","Setophaga fusca","species","Blackburnian Warbler","Parulidae","N",36,"singing","No","Male",1,"","JRUEB",NA
"99fc7278-a3ed-4c13-b5f8-9284e5ade861","BART_082.birdGrid.brd","D01","BART","BART_082","distributed",6,"2015-06-16T10:34Z",1,"BRD.BART.2015.1",1,"Y","VEER","Catharus fuscescens","species","Veery","Turdidae","N",23,"singing","No","Male",1,"","JRUEB",NA
